0fea68AdmYNygeTGI4RC18?si=a399e1c1eb4643d6,"LA CANCIÓN","J Balvin",https://i.scdn.co/image/ab67616d0000b2734891d9b25d8919448388f3bb,"2024-04-25 02:50:57.683652"
4JK1kDUdH9RTBQrrSO1QfR?si=86583a9a987740d2,"ベテルギウス",Yuuri,https://i.scdn.co/image/ab67616d0000b273d0bd51668da5629aa0cc77d8,"2024-04-25 02:21:36.838261"
1zuY26Ll9TTcefOKMKxnJu?si=6c521f3ef4e54a8a,Espectacular,Hens,https://i.scdn.co/image/ab67616d0000b2735e0063b6a3878437385a7296,"2024-12-24 20:36:10.971515"
2HovXsvcdJur52BOcYGydz,"カタオモイ",Aimer,https://i.scdn.co/image/ab67616d0000b273b56ada0ba61d7787fb213f72,"2024-12-24 21:10:46.744832"
4gpvY7b9wHA9G1ZsMDu15b,"Aishite Aishite Aishite",Ado,https://i.scdn.co/image/ab67616d0000b273f5912abed0ea22e746552771,"2024-12-24 21:10:46.744832"
2MsDVWHcrBexkP9zOIWz4R,"メリーゴーランド",Yuuri,https://i.scdn.co/image/ab67616d0000b273188327ac9022d86ad2dd6483,"2024-12-24 21:10:46.744832"
22seP38foydqUMp5Fvkcjm,Inolvidable,Reik,https://i.scdn.co/image/ab67616d0000b273d6cfdde09715f80ddf68ec52,"2024-12-24 21:10:46.744832"
40HxZ8rPnqaVTNhjbSRjpC,"El Cabrón","Cartel De Santa",https://i.scdn.co/image/ab67616d0000b273ca5c95ef4943f338ef029cf9,"2024-12-24 21:22:10.657747"
6it15CsDlkqB7N4lF0C1qM,Caro,"Bad Bunny",https://i.scdn.co/image/ab67616d0000b273519266cd05491a5b5bc22d1e,"2024-12-25 07:21:27.498932"
71pEiUWwfDFiRO6RmFpnBf,MOJAITA,"J Balvin",https://i.scdn.co/image/ab67616d0000b2734891d9b25d8919448388f3bb,"2024-12-25 07:21:27.498932"
2qG5sZ7Si6sdK74qLxedYM,"Con Altura","ROSALÍA",https://i.scdn.co/image/ab67616d0000b27365b0e3e1bd8b5fe2f602c1ea,"2024-12-25 07:21:27.498932"
2ksOAxtIxY8yElEWw8RhgK,China,"Anuel AA",https://i.scdn.co/image/ab67616d0000b2735fa6dc9fc261344044c301a9,"2024-12-25 07:21:27.498932"
3TqLIW3qd4qFYkfYsBjVN6,Delincuente,Farruko,https://i.scdn.co/image/ab67616d0000b273a4eeb8b5182833605c0dd1af,"2024-12-25 07:21:27.498932"
4qknM1pQz53QOyfDVTjcM9,"Me Enamoré",Shakira,https://i.scdn.co/image/ab67616d0000b273d05d3aad30c5fb7614893cf5,"2024-12-25 07:21:27.498932"
2vrpcQNg6itmgVZWsNjWe0,"Un Año","Sebastian Yatra",https://i.scdn.co/image/ab67616d0000b273194331547eaabec350413225,"2024-12-25 07:21:27.498932"
